Date-time CET-CEST (DD/MM/YYYY HH:mm);DMA A (L/s);DMA B (L/s);DMA C (L/s);DMA D (L/s);DMA E (L/s);DMA F (L/s);DMA G (L/s);DMA H (L/s);DMA I (L/s);DMA J (L/s)
30/05/2021 19:00;7.73;13.24;7.22;40.26;88.75;8.85;30.50;20.75;14.77;24.11
30/05/2021 20:00;8.35;12.25;6.18;41.86;89.30;9.13;29.94;21.71;14.80;23.52
30/05/2021 21:00;8.45;10.82;5.27;36.82;84.15;8.46;26.51;19.90;15.05;22.53
30/05/2021 22:00;7.47;10.01;4.47;30.53;75.63;7.41;22.66;18.28;16.73;22.73
30/05/2021 23:00;6.49;9.61;3.93;25.98;68.40;6.84;20.33;17.17;16.17;21.34
31/05/2021 00:00;6.13;8.74;3.37;22.64;58.21;7.36;16.47;13.52;15.14;19.44
31/05/2021 01:00;5.62;8.35;3.25;22.42;53.28;6.42;13.36;10.82;14.35;18.55
31/05/2021 02:00;5.61;8.58;3.20;25.03;50.98;6.31;13.08;10.54;15.93;19.93
31/05/2021 03:00;6.02;8.27;3.08;22.98;51.15;6.39;12.85;10.33;15.09;20.55
31/05/2021 04:00;6.04;8.46;3.44;25.45;52.48;6.00;13.68;10.38;14.98;20.25
31/05/2021 05:00;6.47;8.97;4.14;27.24;56.59;6.45;16.81;11.75;14.84;20.56
31/05/2021 06:00;7.74;10.38;5.66;31.75;75.37;7.94;22.43;16.64;16.87;25.77
31/05/2021 07:00;10.67;11.25;6.64;42.84;104.92;9.94;31.20;24.36;19.18;31.73
31/05/2021 08:00;10.11;12.28;6.81;42.18;104.23;10.46;31.17;29.31;21.15;32.16
31/05/2021 09:00;10.30;11.87;6.44;41.95;98.64;9.59;30.83;28.73;24.23;31.30
31/05/2021 10:00;10.25;11.06;6.27;39.23;91.67;7.89;25.87;25.98;22.93;32.70
31/05/2021 11:00;9.54;10.81;5.95;38.07;87.24;8.97;23.72;24.35;21.16;30.92
31/05/2021 12:00;10.59;10.65;5.73;40.75;88.79;8.42;23.29;23.72;23.27;#N/A
31/05/2021 13:00;9.79;10.93;5.57;34.73;88.73;9.45;24.46;23.91;22.64;34.46
31/05/2021 14:00;10.47;10.71;5.38;32.74;85.09;10.13;22.81;22.47;21.60;32.33
31/05/2021 15:00;9.97;11.30;5.24;39.54;81.12;8.79;21.44;20.90;20.29;29.07
31/05/2021 16:00;9.11;11.78;5.10;35.94;77.71;7.13;22.27;20.42;20.48;29.61
31/05/2021 17:00;8.57;11.81;5.60;34.08;79.89;7.53;22.48;20.99;22.17;33.23
31/05/2021 18:00;8.72;11.98;6.32;39.55;85.16;8.33;25.00;22.47;20.29;30.25
31/05/2021 19:00;8.97;12.97;6.81;46.12;90.28;9.53;26.63;22.07;19.69;28.37
31/05/2021 20:00;9.83;12.41;6.27;44.39;91.42;8.80;30.31;22.60;19.23;27.58
31/05/2021 21:00;8.14;10.99;5.79;34.49;85.55;8.37;26.02;21.29;17.98;26.90
31/05/2021 22:00;7.13;9.67;4.49;28.95;75.35;7.33;21.10;18.43;15.48;23.48
31/05/2021 23:00;5.61;9.07;3.89;24.63;68.07;7.69;19.45;15.94;14.77;20.96
01/06/2021 00:00;4.29;8.81;3.59;22.11;59.38;7.69;16.06;14.04;14.69;19.92
01/06/2021 01:00;3.70;8.22;3.73;25.21;54.01;6.80;14.30;10.95;13.89;18.73
01/06/2021 02:00;14.43;8.30;3.78;23.24;51.63;7.12;13.28;10.16;13.75;18.54
01/06/2021 03:00;4.78;8.34;3.66;#N/A;51.40;6.87;#N/A;9.70;14.84;19.86
01/06/2021 04:00;5.22;8.43;3.33;22.35;51.59;6.38;13.99;9.67;17.57;23.10
01/06/2021 05:00;5.69;8.83;4.04;22.60;55.61;7.31;16.21;11.47;17.84;21.64
01/06/2021 06:00;7.19;10.52;5.87;31.55;73.88;8.48;21.61;16.35;18.42;25.80
01/06/2021 07:00;9.10;11.94;6.67;42.18;103.14;9.75;31.77;25.26;19.06;29.39
01/06/2021 08:00;10.83;12.10;6.35;43.56;101.32;7.62;33.70;28.98;20.92;32.61
01/06/2021 09:00;10.07;11.57;5.74;41.21;95.80;12.45;27.48;27.10;23.81;33.25
01/06/2021 10:00;9.74;11.90;5.18;39.81;88.17;7.65;24.33;26.12;22.08;31.99
01/06/2021 11:00;10.33;10.74;5.16;32.78;84.56;7.93;24.02;24.52;23.22;33.78
01/06/2021 12:00;8.98;11.09;4.90;31.35;85.23;13.55;23.18;25.65;24.69;34.61
01/06/2021 13:00;9.28;11.19;5.03;#N/A;85.37;12.75;#N/A;26.43;22.83;#N/A
01/06/2021 14:00;#N/A;10.96;4.75;#N/A;82.94;11.15;#N/A;#N/A;23.63;#N/A
01/06/2021 15:00;#N/A;11.19;4.76;#N/A;80.50;11.38;#N/A;#N/A;24.18;#N/A
01/06/2021 16:00;9.90;11.61;5.42;33.45;78.55;11.42;23.07;22.37;22.81;32.27
01/06/2021 17:00;8.35;12.15;6.37;39.65;79.18;8.81;23.74;21.47;20.43;29.76
01/06/2021 18:00;8.30;12.50;6.51;38.73;83.13;7.44;24.42;21.60;19.51;29.43
01/06/2021 19:00;9.50;14.02;6.82;40.33;89.21;9.44;27.01;21.85;17.48;27.66
01/06/2021 20:00;9.55;12.43;6.48;38.63;88.49;8.22;28.38;21.80;16.35;26.76
01/06/2021 21:00;8.57;10.69;5.75;34.11;81.29;8.09;23.87;20.11;15.92;23.65
01/06/2021 22:00;6.72;9.70;4.48;27.69;73.53;8.37;20.60;17.00;15.61;22.73
01/06/2021 23:00;6.23;9.24;4.12;27.89;67.12;7.26;19.58;15.45;15.42;22.14
02/06/2021 00:00;5.58;8.65;3.64;27.48;59.91;6.42;18.28;12.86;16.40;21.67
02/06/2021 01:00;5.28;8.31;3.62;23.77;55.36;6.00;14.81;11.48;15.15;19.20
02/06/2021 02:00;5.38;8.21;3.78;23.03;52.55;6.60;13.67;10.22;15.76;19.09
02/06/2021 03:00;5.12;8.22;3.73;20.37;52.00;5.57;12.60;10.24;16.31;20.03
02/06/2021 04:00;5.16;8.42;3.47;19.53;52.48;6.44;12.61;10.02;15.24;20.22
02/06/2021 05:00;4.46;8.59;4.13;20.57;53.77;7.04;14.61;10.41;15.93;20.75
02/06/2021 06:00;5.52;9.71;4.89;27.38;62.61;8.34;17.93;12.56;16.70;23.61
02/06/2021 07:00;7.32;10.64;5.97;37.79;79.30;9.65;23.93;17.84;17.47;26.58
02/06/2021 08:00;8.62;13.13;7.02;43.76;95.25;9.94;31.32;24.13;16.47;26.05
02/06/2021 09:00;8.76;13.61;8.70;46.77;104.44;9.00;34.44;27.58;18.54;28.86
02/06/2021 10:00;8.70;13.45;8.24;49.72;101.04;10.50;32.13;25.39;18.84;27.89
02/06/2021 11:00;8.43;13.22;6.77;40.41;94.01;10.45;28.87;23.40;21.69;29.13
02/06/2021 12:00;8.74;11.79;5.98;40.56;87.13;8.45;25.91;22.41;22.14;29.26
02/06/2021 13:00;8.97;11.75;5.43;34.92;83.20;9.05;25.65;20.67;18.28;25.15
02/06/2021 14:00;8.20;11.30;4.94;32.78;78.13;7.96;23.57;20.30;19.03;26.75
02/06/2021 15:00;8.82;10.75;5.55;36.50;75.06;8.22;22.97;18.28;16.19;23.41
02/06/2021 16:00;7.76;12.36;5.88;36.33;75.49;8.63;23.74;19.15;18.02;24.79
02/06/2021 17:00;7.60;13.31;6.35;38.74;79.26;7.69;23.78;19.56;15.98;25.36
02/06/2021 18:00;8.27;16.08;6.68;37.22;84.02;9.66;25.31;20.63;16.53;26.52
02/06/2021 19:00;8.32;16.14;7.09;38.60;90.32;9.50;29.13;20.71;16.51;26.43
02/06/2021 20:00;9.29;13.81;7.13;43.77;90.60;8.44;29.42;22.63;18.57;27.62
02/06/2021 21:00;7.25;11.72;5.62;37.48;84.21;8.76;26.24;19.65;17.87;25.28
02/06/2021 22:00;5.65;10.13;4.49;29.49;76.55;7.35;22.43;17.64;17.77;23.68
02/06/2021 23:00;4.50;9.10;4.06;29.41;68.98;6.76;20.73;15.90;17.09;22.92
03/06/2021 00:00;3.96;8.51;3.10;25.90;58.39;7.32;17.38;13.06;14.18;19.62
03/06/2021 01:00;4.02;8.07;3.78;22.81;53.87;6.73;14.39;11.35;14.39;19.33
03/06/2021 02:00;4.65;8.05;4.08;21.88;52.35;7.22;13.58;10.53;14.29;19.06
03/06/2021 03:00;5.04;8.05;3.44;19.41;51.25;#N/A;13.30;9.81;14.70;19.64
03/06/2021 04:00;5.29;8.24;3.02;18.98;52.49;6.50;#N/A;10.37;15.36;20.04
03/06/2021 05:00;5.57;8.67;3.75;20.83;57.72;6.79;15.85;11.35;17.22;23.00
03/06/2021 06:00;7.09;10.57;5.90;37.14;78.21;8.03;23.25;16.70;17.76;26.22
03/06/2021 07:00;9.49;11.94;6.44;44.06;103.85;11.72;33.33;25.15;20.33;30.90
03/06/2021 08:00;10.44;12.31;5.84;44.55;102.42;9.65;32.47;29.43;23.70;34.33
03/06/2021 09:00;10.49;11.57;6.16;42.84;96.08;9.58;28.40;27.46;23.17;36.68
03/06/2021 10:00;10.34;11.87;5.40;37.98;89.47;7.65;25.64;26.12;22.38;34.37
03/06/2021 11:00;10.41;11.85;5.26;33.36;85.60;9.30;23.81;25.81;21.85;32.91
03/06/2021 12:00;10.27;11.10;5.27;33.34;86.04;8.92;24.06;26.00;21.39;31.60
03/06/2021 13:00;10.54;10.36;5.01;33.30;86.42;9.84;23.24;25.91;19.38;30.03
03/06/2021 14:00;10.34;11.95;4.87;32.32;82.56;10.31;22.60;24.68;24.01;32.89
03/06/2021 15:00;10.22;11.57;4.63;35.92;78.92;7.72;23.21;22.36;22.69;31.17
03/06/2021 16:00;9.43;11.82;4.75;39.09;78.90;6.31;22.79;22.14;22.71;33.02
03/06/2021 17:00;8.58;13.76;5.49;32.59;79.03;7.96;23.54;23.14;20.57;27.94
03/06/2021 18:00;9.27;14.05;6.39;39.42;83.36;8.31;25.82;22.90;22.93;28.67
03/06/2021 19:00;9.76;15.68;8.58;40.36;92.04;8.04;28.10;22.46;19.62;28.75
03/06/2021 20:00;10.03;14.29;8.09;40.87;91.24;7.41;30.93;23.88;18.01;26.95
03/06/2021 21:00;7.81;11.73;6.53;35.76;85.77;7.38;26.42;21.52;17.60;25.87
03/06/2021 22:00;5.84;9.71;4.72;29.11;76.91;6.94;23.79;19.28;17.05;25.04
03/06/2021 23:00;4.79;9.17;4.30;26.97;69.44;6.20;20.67;16.46;14.49;20.78
04/06/2021 00:00;3.92;8.65;3.25;26.26;60.22;6.40;16.83;13.19;14.49;19.89
04/06/2021 01:00;3.55;8.20;3.31;24.81;54.62;5.42;15.73;10.64;14.64;19.60
04/06/2021 02:00;3.82;7.98;3.39;23.44;52.32;5.76;13.89;9.95;14.18;19.05
04/06/2021 03:00;4.84;8.22;3.47;18.16;52.18;5.17;13.83;9.74;14.77;19.63
04/06/2021 04:00;5.24;8.10;2.98;18.55;52.99;5.36;13.67;9.82;15.16;20.53
04/06/2021 05:00;5.28;8.61;4.02;23.64;57.88;5.93;15.76;11.34;16.31;21.00
04/06/2021 06:00;7.21;10.95;5.94;33.14;77.38;7.43;22.90;16.50;17.86;24.44
04/06/2021 07:00;10.09;12.23;7.22;44.82;103.17;10.27;32.09;25.83;20.43;30.94
04/06/2021 08:00;10.32;11.92;6.73;48.88;104.47;7.33;33.01;29.03;19.43;30.73
04/06/2021 09:00;9.91;11.24;6.35;43.01;96.48;7.71;30.55;28.60;19.24;30.09
04/06/2021 10:00;9.81;11.26;5.85;36.30;90.92;6.60;26.54;26.89;19.66;31.13
04/06/2021 11:00;9.90;11.65;5.45;35.92;84.81;7.30;23.71;25.56;19.65;29.75
04/06/2021 12:00;10.31;11.84;5.06;37.95;85.38;7.68;25.04;25.01;18.96;29.05
04/06/2021 13:00;10.26;11.48;4.57;42.95;87.32;5.84;24.33;25.93;19.20;28.90
04/06/2021 14:00;9.99;11.67;4.58;36.98;83.51;8.97;23.33;24.16;20.65;32.44
04/06/2021 15:00;9.48;11.43;4.69;34.30;80.71;7.04;22.68;23.14;19.80;28.59
04/06/2021 16:00;8.03;11.52;5.30;33.40;80.60;8.05;21.93;22.77;19.64;28.42
04/06/2021 17:00;8.03;11.56;5.51;36.83;81.39;8.06;23.58;23.08;19.07;26.95
04/06/2021 18:00;8.81;14.42;7.31;39.75;84.31;7.40;25.24;23.31;19.09;28.14
04/06/2021 19:00;9.11;14.06;6.88;45.59;90.10;7.43;26.80;22.41;19.84;29.56
04/06/2021 20:00;9.14;12.71;7.88;43.74;89.89;8.22;27.09;21.72;17.11;26.77
04/06/2021 21:00;7.46;11.22;6.21;41.49;82.69;5.84;23.67;20.30;15.30;24.36
04/06/2021 22:00;6.44;9.80;4.75;33.54;74.50;6.07;21.85;18.05;15.32;22.71
04/06/2021 23:00;6.38;9.51;4.67;25.68;69.83;4.53;20.44;17.24;14.86;21.65
05/06/2021 00:00;5.76;8.39;3.68;22.14;61.67;4.15;17.68;14.09;13.48;19.23
05/06/2021 01:00;5.90;8.10;3.74;23.70;56.75;4.16;14.87;11.91;13.62;18.70
05/06/2021 02:00;5.61;7.95;4.16;23.66;53.90;3.40;10.77;11.08;14.71;19.28
05/06/2021 03:00;5.99;8.26;3.90;23.10;52.27;3.47;#N/A;10.40;14.77;19.38
05/06/2021 04:00;6.29;8.05;3.21;26.32;53.01;4.18;#N/A;10.37;15.50;19.96
05/06/2021 05:00;5.94;8.42;4.10;25.98;56.59;5.00;14.19;11.76;15.77;20.25
05/06/2021 06:00;6.89;9.64;4.93;32.02;65.43;4.54;18.12;14.70;16.25;23.31
05/06/2021 07:00;8.02;11.22;6.61;40.21;85.92;10.29;26.02;20.73;16.46;27.23
05/06/2021 08:00;9.66;13.92;7.58;46.46;99.53;7.79;33.04;26.87;19.05;29.78
05/06/2021 09:00;9.19;13.65;7.72;45.24;105.14;9.69;33.45;28.96;18.41;30.69
05/06/2021 10:00;8.52;13.66;6.88;42.75;97.23;7.57;32.20;28.39;18.99;29.81
05/06/2021 11:00;8.78;12.53;6.86;39.43;91.58;7.80;29.35;26.48;18.18;29.12
05/06/2021 12:00;8.51;13.56;6.88;37.34;88.90;7.84;27.74;23.75;20.83;29.05
05/06/2021 13:00;8.60;13.56;6.61;36.24;86.99;7.78;26.27;24.14;18.91;25.96
05/06/2021 14:00;8.56;13.12;6.15;36.93;83.40;7.40;25.39;22.22;17.76;25.27
05/06/2021 15:00;9.49;14.03;6.66;34.75;79.60;7.25;24.26;20.87;16.79;24.63
05/06/2021 16:00;7.77;13.76;7.09;33.99;79.43;7.26;25.33;19.79;17.99;24.69
05/06/2021 17:00;8.41;13.84;7.73;34.67;81.23;7.71;24.86;21.13;16.84;25.76
05/06/2021 18:00;9.03;13.14;7.85;43.23;84.68;6.99;27.22;21.42;17.05;26.47
05/06/2021 19:00;9.08;13.54;8.81;43.20;87.20;7.09;27.50;#N/A;16.26;26.84
05/06/2021 20:00;9.13;12.53;8.58;35.02;84.88;7.97;26.63;20.45;15.22;24.16
05/06/2021 21:00;7.52;11.13;6.74;32.01;78.81;6.27;23.19;19.61;15.04;23.25
05/06/2021 22:00;7.15;9.64;5.11;26.67;73.27;5.70;21.54;16.93;15.13;22.61
05/06/2021 23:00;5.90;9.30;4.61;23.99;68.35;5.87;20.91;15.43;15.77;21.64
06/06/2021 00:00;4.53;8.44;3.64;22.19;63.13;5.55;18.32;14.15;14.23;19.90
06/06/2021 01:00;3.76;8.16;3.66;18.75;57.60;6.49;15.62;11.90;14.20;19.48
06/06/2021 02:00;3.57;7.96;3.82;19.56;54.07;5.94;13.35;10.84;14.43;19.36
06/06/2021 03:00;2.87;8.12;3.73;19.36;52.71;6.31;13.36;10.34;14.23;20.03
06/06/2021 04:00;3.29;8.00;3.33;24.02;52.26;6.16;14.52;9.86;13.65;18.39
06/06/2021 05:00;4.85;8.21;4.20;25.10;54.96;5.09;14.96;10.70;15.25;20.22
06/06/2021 06:00;6.03;8.78;4.57;28.46;61.10;5.68;17.00;12.67;15.44;20.77
06/06/2021 07:00;7.00;9.04;4.52;30.59;71.48;6.41;19.72;15.10;15.42;23.15
06/06/2021 08:00;7.80;10.04;4.92;37.04;82.80;6.67;23.86;19.09;15.27;23.79
06/06/2021 09:00;8.35;10.47;5.25;36.05;93.26;7.57;28.47;23.33;18.39;24.93
06/06/2021 10:00;8.15;11.01;5.53;40.03;98.03;7.32;30.78;24.53;16.20;24.71
06/06/2021 11:00;7.77;12.09;5.93;36.20;96.66;6.89;30.26;24.45;16.03;25.24
06/06/2021 12:00;8.38;11.55;5.88;39.76;94.94;8.09;31.09;23.86;17.60;26.49
06/06/2021 13:00;7.05;10.49;5.32;39.24;89.59;7.60;28.26;21.50;16.66;23.59
06/06/2021 14:00;6.82;10.38;5.15;38.82;84.52;8.36;26.00;21.28;16.82;24.56
06/06/2021 15:00;6.17;10.73;4.51;34.30;81.26;5.87;22.56;19.47;17.84;23.58
06/06/2021 16:00;6.61;10.95;4.61;35.87;78.84;6.39;22.71;19.96;14.89;23.05
06/06/2021 17:00;5.78;11.63;5.44;34.69;79.17;7.90;23.36;19.65;14.40;22.57
06/06/2021 18:00;6.43;10.98;5.58;33.10;85.27;6.88;24.60;20.49;15.63;24.75
06/06/2021 19:00;6.97;11.64;5.90;38.61;89.61;8.04;27.19;20.93;15.18;24.00
06/06/2021 20:00;8.47;11.81;5.49;37.87;88.44;7.81;27.48;21.03;15.40;24.53
06/06/2021 21:00;7.44;10.29;4.83;32.80;83.67;6.43;24.36;20.06;14.24;22.72
06/06/2021 22:00;6.85;9.40;3.95;28.62;76.56;7.38;21.76;18.27;14.73;22.16
06/06/2021 23:00;5.89;9.03;3.34;30.78;68.92;7.32;20.77;16.08;15.12;20.89
07/06/2021 00:00;5.28;8.48;2.71;25.39;59.47;6.08;16.77;13.09;14.01;18.76
07/06/2021 01:00;4.50;8.04;2.88;26.01;54.57;5.29;15.31;10.78;15.42;19.51
07/06/2021 02:00;4.71;7.99;3.17;25.31;51.77;5.43;13.95;10.52;14.90;19.73
07/06/2021 03:00;5.25;8.27;3.13;21.68;51.84;5.26;13.32;10.12;16.10;21.29
07/06/2021 04:00;5.08;8.32;2.75;20.39;53.20;4.91;13.86;10.27;14.68;20.49
07/06/2021 05:00;5.45;8.59;3.56;23.13;59.03;5.21;15.61;11.60;15.27;21.07
07/06/2021 06:00;6.83;10.08;4.90;29.69;77.48;6.69;21.56;16.59;16.82;25.58
07/06/2021 07:00;7.94;11.53;5.60;42.79;102.61;8.59;31.57;25.06;19.92;31.74
07/06/2021 08:00;8.79;11.73;5.42;40.56;101.44;7.41;32.43;28.21;20.10;32.51
07/06/2021 09:00;9.90;11.15;4.92;40.63;97.01;6.43;29.76;29.02;21.98;35.31
07/06/2021 10:00;9.47;11.31;4.76;37.13;91.24;5.70;26.03;27.38;20.94;31.69
07/06/2021 11:00;12.74;10.60;5.13;40.66;88.19;6.57;24.10;26.35;21.61;33.21
07/06/2021 12:00;12.41;10.08;5.43;39.13;88.95;8.07;23.79;26.58;22.55;32.08
07/06/2021 13:00;13.42;9.85;4.84;39.08;86.30;6.21;24.25;26.01;22.30;32.01
07/06/2021 14:00;14.06;9.89;4.46;36.19;81.73;6.01;23.63;24.82;24.39;33.19
07/06/2021 15:00;13.54;10.56;4.61;32.84;78.29;6.13;22.33;22.90;23.64;32.14
07/06/2021 16:00;13.26;10.39;4.44;34.27;78.35;5.93;20.58;22.82;19.20;29.23
07/06/2021 17:00;12.68;10.77;4.91;34.52;80.01;6.43;21.94;22.59;18.32;27.38
07/06/2021 18:00;13.44;11.67;5.45;37.52;82.51;7.06;24.15;22.31;18.01;27.36
07/06/2021 19:00;12.86;12.08;6.33;42.77;89.92;8.22;26.53;22.39;19.05;29.16
07/06/2021 20:00;10.00;11.27;5.26;41.77;93.04;6.11;27.98;22.43;16.27;25.51
07/06/2021 21:00;8.06;10.62;5.15;35.53;86.10;8.13;25.47;21.24;17.66;26.14
07/06/2021 22:00;6.31;10.02;4.12;29.44;78.60;7.78;22.18;17.82;16.98;23.96
07/06/2021 23:00;4.93;9.14;3.43;27.91;69.63;5.48;20.13;16.61;15.23;20.07
08/06/2021 00:00;4.52;8.57;3.08;23.64;60.57;5.54;15.82;13.48;17.06;21.58
08/06/2021 01:00;4.03;8.30;3.00;26.42;54.91;4.73;14.70;10.75;17.51;21.63
08/06/2021 02:00;14.60;8.25;3.11;22.71;51.88;4.86;13.15;10.07;15.67;20.30
08/06/2021 03:00;5.54;8.38;3.10;24.12;52.40;4.79;13.38;10.09;14.54;19.16
08/06/2021 04:00;5.55;8.53;2.84;25.93;53.51;4.74;14.52;10.15;14.81;19.81
08/06/2021 05:00;6.28;8.83;3.68;28.71;58.44;5.00;16.00;11.85;16.64;22.10
08/06/2021 06:00;7.72;10.47;5.13;35.41;76.22;6.85;22.32;17.20;18.14;26.77
08/06/2021 07:00;11.46;11.77;6.03;46.20;104.22;7.37;32.20;26.40;18.89;30.85
08/06/2021 08:00;11.00;11.93;5.75;44.21;103.13;7.56;32.27;28.97;21.16;32.89
08/06/2021 09:00;10.84;11.88;5.29;38.71;97.32;7.30;28.80;28.84;20.27;31.43
08/06/2021 10:00;12.13;11.15;5.31;35.53;88.80;5.99;25.29;27.36;22.42;32.10
08/06/2021 11:00;10.31;11.04;5.14;36.80;87.58;5.75;23.51;26.37;24.63;34.48
08/06/2021 12:00;10.12;10.44;4.61;33.51;84.97;6.07;23.21;26.59;22.67;31.41
08/06/2021 13:00;12.27;10.94;4.73;34.58;86.22;6.76;25.02;26.96;23.04;33.67
08/06/2021 14:00;10.74;11.07;4.22;33.70;81.24;7.17;23.02;24.83;19.99;29.07
08/06/2021 15:00;8.94;10.41;4.26;31.32;78.91;6.23;21.54;23.89;20.89;30.91
08/06/2021 16:00;8.89;9.99;4.20;36.57;80.35;7.31;21.74;22.41;19.38;28.13
08/06/2021 17:00;9.86;10.45;4.46;36.83;80.84;5.74;23.65;24.23;21.61;31.07
08/06/2021 18:00;9.43;10.81;4.79;45.24;86.58;7.93;25.17;22.52;19.43;29.11
08/06/2021 19:00;9.38;11.79;5.36;41.99;91.47;6.84;29.69;22.57;18.04;27.79
08/06/2021 20:00;10.90;11.78;5.89;45.37;94.75;8.27;29.19;24.29;17.27;27.32
08/06/2021 21:00;8.08;10.77;5.11;37.73;87.75;8.05;25.55;22.42;17.26;26.11
08/06/2021 22:00;7.05;9.84;4.41;31.56;80.13;6.80;22.37;18.59;18.24;26.08
08/06/2021 23:00;6.12;8.93;3.72;29.79;71.55;6.06;20.52;16.23;16.66;23.15
09/06/2021 00:00;7.41;8.35;3.10;24.28;61.83;5.02;16.08;13.03;17.68;22.72
09/06/2021 01:00;5.35;8.25;3.09;20.27;55.21;4.57;15.28;10.92;17.31;22.70
09/06/2021 02:00;4.64;7.95;3.31;22.38;53.44;3.65;13.61;9.87;16.41;20.96
09/06/2021 03:00;2.84;8.29;3.24;23.37;54.01;4.90;13.39;9.84;16.33;21.77
09/06/2021 04:00;3.93;8.22;2.79;24.48;54.98;4.08;13.58;9.88;17.50;22.88
09/06/2021 05:00;5.38;8.50;3.72;27.77;60.21;4.37;15.81;11.84;15.99;21.08
09/06/2021 06:00;6.39;10.24;5.31;36.07;79.60;7.03;23.19;17.16;18.66;27.80
09/06/2021 07:00;8.62;11.99;5.89;45.41;107.20;8.47;35.69;26.97;20.93;33.16
09/06/2021 08:00;9.69;12.12;5.42;40.61;104.83;8.48;32.94;28.92;22.34;35.76
09/06/2021 09:00;13.08;11.62;5.15;#N/A;96.86;7.22;28.12;27.14;22.53;34.44
09/06/2021 10:00;12.20;11.01;4.68;34.83;91.93;6.86;24.84;28.01;23.09;35.81
09/06/2021 11:00;11.42;11.29;4.49;35.80;87.73;5.86;24.46;26.17;22.54;34.60
09/06/2021 12:00;13.31;11.24;6.75;38.25;88.06;6.34;#N/A;26.23;22.15;32.46
09/06/2021 13:00;12.91;11.16;8.09;38.94;88.39;7.69;24.06;25.82;21.86;31.60
09/06/2021 14:00;11.53;10.86;8.15;35.06;84.50;9.37;23.13;24.55;23.09;30.70
09/06/2021 15:00;12.33;10.76;8.11;34.16;82.67;5.52;21.95;22.96;24.80;31.13
09/06/2021 16:00;10.17;12.42;8.20;31.61;81.85;5.97;#N/A;23.81;21.57;29.96
09/06/2021 17:00;7.79;12.27;7.78;33.88;81.50;6.30;22.61;23.01;22.17;28.63
09/06/2021 18:00;8.73;12.11;8.08;40.14;84.23;7.70;24.97;23.15;20.69;27.38
09/06/2021 19:00;10.36;12.73;9.13;43.19;91.46;8.10;29.28;23.60;19.83;29.44
09/06/2021 20:00;8.62;12.31;9.20;42.07;92.94;9.42;29.26;23.68;17.59;26.63
09/06/2021 21:00;7.61;11.89;9.09;37.07;89.57;7.56;25.61;21.07;17.42;25.67
09/06/2021 22:00;7.41;10.88;7.92;30.57;79.48;6.99;22.49;18.21;19.16;26.04
09/06/2021 23:00;7.23;9.66;7.16;28.77;71.59;5.75;19.39;17.62;18.71;25.19
10/06/2021 00:00;5.73;8.91;6.42;22.31;62.68;5.16;17.48;14.03;15.81;21.23
10/06/2021 01:00;4.92;8.27;6.34;22.58;56.39;4.48;14.96;11.30;15.92;21.46
10/06/2021 02:00;6.24;8.21;6.60;25.04;53.51;5.04;13.47;10.72;14.57;19.31
10/06/2021 03:00;6.06;8.62;6.35;25.36;53.67;4.58;13.47;10.51;17.49;23.87
10/06/2021 04:00;5.64;8.28;5.98;23.69;54.76;3.65;13.26;10.62;15.63;19.98
10/06/2021 05:00;6.01;#N/A;6.70;26.97;59.65;4.50;#N/A;11.94;16.67;20.90
10/06/2021 06:00;7.85;10.53;8.22;31.98;75.77;7.46;#N/A;17.80;18.18;26.55
10/06/2021 07:00;11.32;11.95;8.90;41.45;101.33;7.47;#N/A;25.66;19.94;30.24
10/06/2021 08:00;11.14;11.40;8.54;37.63;102.64;3.91;#N/A;28.14;19.98;31.65
10/06/2021 09:00;11.46;12.18;8.06;#N/A;#N/A;#N/A;#N/A;27.18;18.58;#N/A
10/06/2021 10:00;#N/A;12.03;7.70;#N/A;#N/A;#N/A;#N/A;27.40;#N/A;#N/A
10/06/2021 11:00;#N/A;12.19;4.39;#N/A;#N/A;#N/A;#N/A;25.48;#N/A;#N/A
10/06/2021 12:00;10.23;12.32;4.87;48.51;96.75;#N/A;11.85;26.28;19.88;30.95
10/06/2021 13:00;12.36;13.01;4.43;37.30;87.79;5.81;#N/A;25.96;19.79;30.62
10/06/2021 14:00;11.54;12.75;4.19;35.92;83.82;7.67;22.78;24.53;21.55;31.00
10/06/2021 15:00;10.69;12.99;4.66;35.11;82.10;7.13;21.87;21.59;21.92;30.08
10/06/2021 16:00;12.13;13.16;4.74;35.99;82.44;7.23;23.32;22.17;21.00;31.39
10/06/2021 17:00;12.29;13.80;5.42;40.00;83.62;7.75;23.29;23.84;19.75;29.41
10/06/2021 18:00;9.39;13.93;6.40;41.90;87.40;7.63;25.41;23.24;19.85;30.40
10/06/2021 19:00;11.01;15.64;6.95;41.46;92.36;7.23;27.94;23.05;20.49;31.93
10/06/2021 20:00;11.69;14.51;7.51;47.58;91.78;7.21;30.76;23.12;18.35;29.01
10/06/2021 21:00;8.57;12.99;5.91;41.01;86.77;7.41;26.91;21.02;16.22;24.95
10/06/2021 22:00;7.60;11.46;4.81;31.00;78.18;5.88;22.51;18.70;16.93;24.79
10/06/2021 23:00;8.33;10.86;4.25;26.33;71.58;5.25;21.09;15.77;17.72;25.25
11/06/2021 00:00;5.15;10.14;3.08;23.43;61.79;5.55;16.93;14.12;16.83;22.24
11/06/2021 01:00;4.09;9.17;3.07;21.12;56.34;5.66;15.46;11.19;14.91;19.90
